,id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,year
81,176,Sven Schipplock,25,797,3,3.4034453090280294,0,0.9139162003993988,27,8,4,0,F S,Hoffenheim,3,3.4034453090280294,4.79873582161963,1.90636027418077,2014
82,179,Zoltán Stieber,25,1530,3,2.8872565841302276,2,1.9409325998276472,33,31,1,0,F M S,Hamburger SV,3,2.8872565841302276,5.791960940696299,1.9185604443773627,2014
83,275,Tim Matavz,16,509,3,1.5708873830735683,1,0.3033566027879715,17,4,0,0,F S,Augsburg,3,1.5708873830735683,1.8940461222082376,0.16855069808661938,2014
84,280,Halil Altintop,31,2485,3,3.87714971229434,4,5.702582058496773,37,51,1,0,F M S,Augsburg,3,3.87714971229434,12.62675659544766,5.25556013174355,2014
85,289,Marc Stendera,26,1855,3,1.242120605893433,5,3.0578756649047136,24,31,6,0,F M S,Eintracht Frankfurt,3,1.242120605893433,7.387060787528753,4.957602703943849,2014
86,314,Ilkay Gündogan,23,1913,3,2.229732790030539,4,3.229163646697998,40,28,2,0,M S,Borussia Dortmund,3,2.229732790030539,12.495804113335907,9.18923361133784,2014
87,317,Henrikh Mkhitaryan,28,1919,3,5.73627798166126,4,6.632590172812343,69,45,4,0,M S,Borussia Dortmund,3,5.73627798166126,14.594517955556512,6.200587013736367,2014
88,320,Jonas Hofmann,12,638,3,2.3375838734209538,0,0.31257239356637,12,4,1,0,F M S,"Borussia Dortmund,Mainz 05",2,1.5798068977892399,2.2252926975488663,1.0381138231605291,2014
89,337,Leroy Sané,13,607,3,2.075839973986149,0,0.8094686716794968,12,5,1,0,F M S,Schalke 04,3,2.075839973986149,3.176598373800516,1.106384702026844,2014
90,381,Ronny,19,933,3,1.5590599924325943,2,1.7796112075448036,22,16,4,0,M S,Hertha Berlin,2,0.8012828938663006,1.743272129446268,1.0040193162858486,2014
91,383,Florian Klein,34,2957,3,2.065686412155628,2,2.029786905273795,22,23,2,0,D M S,VfB Stuttgart,2,1.3079094365239143,6.553472984582186,3.5852763466537,2014
92,386,Gojko Kacar,13,709,3,1.14413888938725,0,0.24002580530941486,10,7,4,0,M S,Hamburger SV,3,1.14413888938725,1.7757609114050865,1.6332230288535357,2014
93,412,André Hahn,23,1313,3,3.6463521365076303,2,2.5381936207413673,37,12,3,0,F M S,Borussia M.Gladbach,3,3.6463521365076303,6.357201235368848,1.1486455202102661,2014
94,566,Sebastian Prödl,22,1741,3,2.248267736285925,1,1.146436169743538,19,4,5,0,D S,Werder Bremen,3,2.248267736285925,2.608460534363985,2.0211393497884274,2014
95,1209,Ciro Immobile,24,953,3,4.7834832314401865,1,0.6823710845783353,42,8,1,0,F S,Borussia Dortmund,3,4.025706814602017,5.215689964592457,1.2569430228322744,2014
96,2632,Elkin Soto,16,409,3,0.9144776780158281,1,0.40708738937973976,9,4,3,0,M S,Mainz 05,3,0.9144776780158281,2.101529750972986,0.7886955472640693,2014
97,3477,Jimmy Briand,29,2076,3,3.355181099846959,6,3.1068984111770988,38,25,2,0,F M S,Hannover 96,3,3.355181099846959,8.662259541451931,4.146408950909972,2014
98,4262,Alban Meha,18,1218,3,2.47548474278301,0,1.4702180568128824,61,21,1,0,M S,Paderborn,2,1.71770831476897,2.8276690458878875,1.9419669713824987,2014
99,4300,Tranquillo Barnetta,22,1061,3,2.577630292624235,4,1.7110311654396355,19,34,0,0,M S,Schalke 04,3,2.577630292624235,4.416087148711085,1.4193459004163742,2014
100,12,Mario Vrancic,30,2122,2,1.7019308852031827,1,4.042513879016042,22,61,5,0,M S,Paderborn,2,1.7019308852031827,6.831635197624564,4.113268576562405,2014
101,46,Jairo Samperio,22,1104,2,0.6139167929068208,2,1.5482600945979357,12,10,2,0,F M S,Mainz 05,2,0.6139167929068208,3.214034518226981,1.9038785211741924,2014
102,63,Alexandru Maxim,25,1413,2,2.6506012296304107,6,4.418616503477097,27,44,3,0,M S,VfB Stuttgart,2,2.6506012296304107,9.639330828562379,5.058069925755262,2014
103,93,Marcelo,34,3060,2,2.0655665127560496,0,0.22455069608986378,21,5,4,0,D,Hannover 96,2,2.0655665127560496,4.719721741974354,4.522696640342474,2014
104,96,Salif Sané,18,1437,2,0.7950178175233305,0,0.413952499628067,21,8,8,0,D M S,Hannover 96,2,0.7950178175233305,2.956306873820722,2.631258798763156,2014
105,111,Jannik Vestergaard,21,1434,2,1.1350679034367204,0,0,13,0,3,0,D M S,"Hoffenheim,Werder Bremen",2,1.1350679034367204,1.5671735610812902,0.9809626806527376,2014
106,123,Assani Lukimya,22,1745,2,1.5051464065909386,2,1.152506927959621,14,11,1,0,D S,Werder Bremen,2,1.5051464065909386,2.612273683771491,2.1944230324588716,2014
